"time","pitch"
0,NA
0.0125,186.830230712891
0.025,197.354217529297
0.0375,214.999816894531
0.05,233.349884033203
0.0625,241.460952758789
0.075,246.221054077148
0.0875,259.161376953125
0.1,268.365783691406
0.1125,273.382934570312
0.125,278.196868896484
0.1375,282.388244628906
0.15,285.567718505859
0.1625,285.720550537109
0.175,284.659210205078
0.1875,283.152282714844
0.2,285.681884765625
0.2125,285.130706787109
0.225,279.631317138672
0.2375,279.635070800781
0.25,266.445373535156
0.2625,234.052001953125
0.275,232.663436889648
0.2875,219.929336547852
0.3,202.139755249023
0.3125,204.885971069336
0.325,201.501251220703
0.3375,210.496566772461
0.35,249.96174621582
0.3625,257.317077636719
0.375,266.278686523438
0.3875,275.165649414062
0.4,279.052856445312
0.4125,284.707153320312
0.425,290.236083984375
0.4375,295.588073730469
0.45,301.1376953125
0.4625,303.363800048828
0.475,302.823944091797
0.4875,307.291656494141
0.5,306.614654541016
0.5125,300.749542236328
0.525,292.961578369141
0.5375,286.588684082031
0.55,270.164916992188
0.5625,252.536376953125
0.575,NA
0.5875,NA
0.6,NA
0.6125,NA
0.625,NA
0.6375,NA
0.65,NA
0.6625,NA
0.675,NA
0.6875,NA
0.7,NA
0.7125,227.848037719727
0.725,243.178085327148
0.7375,235.720916748047
0.75,237.606063842773
0.7625,234.357513427734
0.775,224.941070556641
0.7875,217.479919433594
0.8,202.703384399414
0.8125,200.953979492188
0.825,190.701797485352
0.8375,NA
0.85,NA
0.8625,NA
0.875,NA
0.8875,NA
0.9,NA
0.9125,NA
0.925,NA
0.9375,261.057983398438
0.95,255.094192504883
0.9625,258.777557373047
0.975,257.8623046875
0.9875,259.81201171875
1,260.709899902344
1.0125,265.818664550781
1.025,271.043579101562
1.0375,272.567749023438
1.05,273.430999755859
1.0625,273.168426513672
1.075,271.132598876953
1.0875,267.684356689453
1.1,263.253723144531
1.1125,255.804901123047
1.125,247.519561767578
1.1375,NA
1.15,NA
1.1625,NA
1.175,NA
1.1875,NA
1.2,224.289642333984
1.2125,234.355606079102
1.225,238.067443847656
1.2375,236.414352416992
1.25,234.180053710938
1.2625,232.447357177734
1.275,230.826400756836
1.2875,227.027755737305
1.3,223.562683105469
1.3125,220.555145263672
1.325,218.677291870117
1.3375,216.9443359375
1.35,214.190826416016
1.3625,208.449356079102
1.375,205.444061279297
1.3875,203.935989379883
1.4,201.961273193359
1.4125,196.780029296875
1.425,191.462356567383
1.4375,186.128723144531
1.45,171.866348266602
1.4625,160.798416137695
1.475,149.955917358398
1.4875,NA
